通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
神象 云南文山三七粉    250g,神象 ,250g,60  瓶  , ,上海雷允上药业有限公司 ,广东壹号药业有限公司,无
宝芝林 内蒙蛹虫草    250g/包,宝芝林 ,250g/包,10  包  , ,金华宝芝林食品有限公司 ,广东壹号药业有限公司,无
同仁堂 西洋参    1#参片/100克,同仁堂 ,1#参片/100克,20  瓶  , ,北京同仁堂健康药业(福州)有限公司 ,广东壹号药业有限公司,无
同仁堂 西洋参片    20g,同仁堂 ,20g,84  盒  , ,北京同仁堂健康药业（福州）有限公司 ,广东壹号药业有限公司,无
杞里香 西洋参    50g,杞里香 ,50g,64  瓶  , ,银川杞里香商贸有限公司 ,广东壹号药业有限公司,无
盘龙云海 三七超细粉    3g/条*15条,盘龙云海 ,3g/条*15条,48  盒  ,滇20110080 ,云南盘龙云海药业有限公司 ,广东壹号药业有限公司,无
同仁堂 西洋参    0#参片/200g,同仁堂 ,0#参片/200g,6  盒  , ,北京同仁堂健康药业 ,广东壹号药业有限公司,无
敖东 西洋参大片    80g/瓶,敖东 ,80g/瓶,135  罐  , ,吉林敖东世航药业股份有限公司 ,广东壹号药业有限公司,无
美参堂 人参片    60g,美参堂 ,60g,30  盒  ,SC11322050227998 ,北京美参堂食品有限公司委托通化东贵堂药业有限公司生产 ,广东壹号药业有限公司,无
人参首乌胶囊力魂 人参首乌胶囊    0.3g*12粒*2板.,人参首乌胶囊力魂 ,0.3g*12粒*2板.,300  板  ,Z20044577 ,郑州韩都药业集团有限公司 ,成都拜欧药业股份有限公司,有
云三七 三七超细粉    100g,云三七 ,100g,1  盒  , ,云南三七科技药业有限公司 ,深圳市同兴泰医药有限公司,无
