通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
 活洛油    25ml, ,25ml,1  袋  , ,贵州苗方堂药业有限责任公司 ,中山市胜美保健食品有限公司,有
 大豆磷脂软胶囊    1.2g/粒*100粒, ,1.2g/粒*100粒,200  瓶  , ,宣城柏维力生物工程有限公司 ,湖北巨世医药有限公司,有
 褪黑素维生素B6片    0.25g*60片, ,0.25g*60片,200  盒  , ,宣城柏维力生物工程有限公司 ,湖北巨世医药有限公司,有
乙醇消毒液*酒精(塑料瓶)75%*100ml 乙醇消毒液*酒精(塑料瓶)    75%*100ml,乙醇消毒液*酒精(塑料瓶)75%*100ml ,75%*100ml,1  瓶  ,鄂卫消证字(2002)第0047号 ,武汉市雪环医用消毒用品有限公司 ,梅州振佳新特药有限公司,无
