供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
帝豪旗舰店,贵州瑞和 口腔溃疡散,贵州瑞和制药有限公司,3.71,2021-03-14,3g,9765
帝豪旗舰店,粤威 骨增生镇痛膏,广东粤威制药有限公司,5.80,2020-12-31,7cm*10cm*8贴,5741
帝豪旗舰店,黑龙江天龙 复方小儿退热栓,黑龙江天龙药业有限公司,3.47,2020-11-30,0.7g*5枚,9790
帝豪旗舰店,山西澳迩 小儿咽扁颗粒,山西澳迩药业有限公司,3.88,2020-11-30,8g*6袋,8556
帝豪旗舰店,山东昊福 脑血康胶囊,山东昊福药业集团制药有限公司,21.02,2020-10-17,0.15g*12粒,1521
帝豪旗舰店,弥尔神 甲钴胺胶囊,山东海山药业有限公司,6.00,2020-03-30,0.5mg*20粒,4705
帝豪旗舰店,金钙尔奇 碳酸钙维D3元素片,惠氏制药有限公司,44.20,2020-10-05,600mg*30片,735
帝豪旗舰店,贝前列素钠片,东丽株式会社,50.84,2020-12-31,20UG*10片,731
帝豪旗舰店,长春普华 熊胆丸,长春普华制药股份有限公司,5.50,2021-10-31,0.25g*10粒*2板,6124
帝豪旗舰店,莫比可 美洛昔康片,上海勃林格殷格翰药业有限公司,18.70,2022-10-31,7.5mg*7片,1608
帝豪旗舰店,吉林跨海 牛黄上清片,吉林省密之康药业有限责任公司,3.05,2021-12-31,24片*2板,10140
帝豪旗舰店,通化鸿淘茂 玉仁 回春如意胶囊,吉林玉仁制药股份有限公司,15.50,2020-12-05,0.25*12s*2板,1922
帝豪旗舰店,逸舒 克拉霉素片,广东逸舒制药股份有限公司,2.19,2020-10-27,0.125g*6片,14261
帝豪旗舰店,新适确得 卤米松/三氯生乳膏,Famar SA,33.81,2020-08-31,10g,848
帝豪旗舰店,刻康 颈康胶囊,吉林真元制药有限公司,4.50,2020-10-31,0.3g*24粒,7306
帝豪旗舰店,烟台巨先 吲达帕胺片,烟台巨先药业有限公司,4.35,2021-10-31,2.5mg*36片,7231
帝豪旗舰店,上海现代 马来酸依那普利片,上海现代制药股份有限公司,3.86,2021-03-31,5mg*16s,8632
帝豪旗舰店,999 奥尼捷 咪唑斯汀缓释片,华润三九医药股份有限公司,21.00,2020-07-31,10mg*7片,1442
帝豪旗舰店,黑龙江天龙 盆炎清栓,黑龙江天辰药业有限公司,7.05,2020-11-13,10粒,4612
帝豪旗舰店,绿药膏 林可霉素利多卡因凝胶,上海新亚药业闵行有限公司,4.50,2020-03-09,15g,4915
帝豪旗舰店,甘肃岷海 蒲地蓝消炎片,甘肃岷海制药有限责任公司,3.56,2021-09-30,0.3g*48片,9685
帝豪旗舰店,三金 桂林西瓜霜,桂林三金药业股份有限公司,13.10,2021-09-14,3.5g,77142
帝豪旗舰店,陕西东泰 脉管复康胶囊,陕西东泰制药有限公司,21.19,2022-08-03,0.45g*24粒,1399
帝豪旗舰店,特普宁 头孢克肟颗粒,成都倍特药业有限公司,3.60,2021-08-16,50mg*6袋,9793
帝豪旗舰店,陈李济 壮腰健肾丸,广州白云山陈李济药厂有限公司,11.34,2021-06-30,5.6g*10丸,49321
帝豪旗舰店,幸福科达琳 复方氨酚肾素片,幸福药业有限公司,19.40,2021-08-31,12片,43429
帝豪旗舰店,云南白药 风热感冒颗粒,云南白药集团股份有限公司,12.10,2020-06-30,10g*6袋,487
帝豪旗舰店,尤佳 阿托伐他汀钙胶囊,天方药业有限公司,31.75,2021-05-31,10mg*10粒,1068
帝豪旗舰店,香丹清珂妍胶囊,西安杨健药业有限公司,279.79,2021-01-05,0.4g*10粒*2板*6盒,137
帝豪旗舰店,新盖中盖(儿童钙片),哈药集团制药六厂,23.76,2020-07-23,1.75g*36片,163
帝豪旗舰店,新盖中盖高钙片,哈药集团制药六厂,26.58,2020-10-18,2.5g*30片+6片,853
帝豪旗舰店,娇妍女性护理液,娇妍(广州)日用品有限公司,20.19,2020-11-23,220ml,130
帝豪旗舰店,亚宝 丁桂儿脐贴,亚宝药业集团股份有限公司,13.80,2020-09-30,1.6g*2贴,35994
帝豪旗舰店,惠州大亚 脑络通胶囊,惠州大亚制药股份有限公司,10.95,2020-09-30,30s,3398
帝豪旗舰店,众生 清热祛湿颗粒,广东众生药业股份有限公司,13.00,2021-08-08,10g*20袋,15214
帝豪旗舰店,云昆 肥儿疳积颗粒,昆明中药厂有限公司,14.71,2021-12-31,10g*8袋,0
帝豪旗舰店,恩威 洁尔阴洗液,四川恩威制药有限公司,12.56,2022-04-30,140ml,250
帝豪旗舰店,奇星 虚汗停颗粒,广州白云山奇星药业有限公司,22.70,2020-10-31,10g*6袋,11927
帝豪旗舰店,逸舒升 非那雄胺片,广东逸舒制药股份有限公司,9.63,2021-01-09,5mg*12片,23
帝豪旗舰店,白云山 硝酸益康唑乳膏,广州白云山制药股份有限公司白云山何济公制药厂,4.50,2020-05-31,20g,6076
帝豪旗舰店,华夏腋香夏怡露,广东恒健日化有限公司,6.50,2021-12-02,14ml,2323
帝豪旗舰店,好易康(专研儿童防蛀),江苏雪豹日化有限公司,22.80,2021-04-09,60g,698
帝豪旗舰店,山西仁源堂 消朦片,山西仁源堂药业有限公司,9.09,2021-08-31,0.5g*12片*3板,262
帝豪旗舰店,达芙文 阿达帕林凝胶,法国高德美国际公司,60.00,2021-06-30,0.1%30g,852
帝豪旗舰店,万苏敏 盐酸吡格列酮分散片,江苏万邦生化医药集团有限责任公司,23.76,2020-10-31,15mg*30片,1364
帝豪旗舰店,陕西香菊 香菊片,陕西香菊药业集团有限公司,28.00,2020-12-31,0.3g*60片,97
帝豪旗舰店,佳和洛 格列美脲片,山东新华制药股份有限公司,18.00,2021-02-20,2mg*20片,21709
帝豪旗舰店,病毒灵片 盐酸吗啉胍片,山西太原药业有限公司,3.80,2020-05-02,0.1g*100片,6244
帝豪旗舰店,浙江海正 福美欣 他克莫司胶囊,浙江海正药业股份有限公司,780.00,2020-11-30,1mg*50粒,95
帝豪旗舰店,倍悦 厄贝沙坦氢氯噻嗪片,浙江华海药业股份有限公司,33.50,2020-11-30,75mg:6.25mg*30片,17498
帝豪旗舰店,临江宏大 前列舒乐胶囊,临江市宏大药业有限公司,11.00,2021-10-31,0.4g*15粒*3板,7146
帝豪旗舰店,倍他乐克 琥珀酸美托洛尔缓释片,阿斯利康制药有限公司,16.30,2021-05-31,47.5mg*7片,53443
帝豪旗舰店,新郑 醋酸地塞米松片,遂成药业股份有限公司,1.89,2020-08-31,0.75mg*100片,12841
帝豪旗舰店,华南 脑栓通胶囊,广东华南药业集团有限公司,33.94,2020-11-22,0.4g*27粒,4800
帝豪旗舰店,福州海王 八珍益母丸,福州海王金象中药制药有限公司,7.69,2021-07-29,6g*10袋,4022
帝豪旗舰店,精华制药 去痛片,精华制药集团股份有限公司,10.50,2021-12-31,100片,13078
帝豪旗舰店,立效 桂枝茯苓丸,山西华康药业股份有限公司,4.38,2021-11-30,4g*6袋,7774
帝豪旗舰店,梁介福 斧标驱风油,梁介福(广东)药业有限公司,8.28,2022-07-25,10ml,24927
帝豪旗舰店,百灵鸟 咳速停胶囊,贵州百灵企业集团制药股份有限公司,13.75,2020-12-19,0.5g*12s*2板,3412
帝豪旗舰店,搏力高 坎地沙坦酯片,浙江永宁药业股份有限公司,14.77,2020-10-31,8mg*7片,0
帝豪旗舰店,兵兵退热贴(儿童装),珠海国佳新材股份有限公司,12.88,2020-07-31,112.5mm*40mm*2贴*2袋,0
帝豪旗舰店,刻康 乳癖康胶囊,黑龙江省济仁药业有限公司,8.82,2021-11-30,0.3g*60粒,4030
帝豪旗舰店,野虎 清凉油,上海中华药业南通有限公司,1.30,2021-02-28,3g*20只,27243
帝豪旗舰店,伊索佳 硫酸氨基葡萄糖胶囊,浙江海正药业股份有限公司,31.00,2021-10-31,0.314g*24粒,16952
帝豪旗舰店,山益新 富马酸比索洛尔片,Salutas Pharma GmbH,10.95,2022-04-30,5mg*10s,2611
帝豪旗舰店,石药 阿莫西林胶囊,石药集团中诺药业(石家庄)有限公司,2.67,2021-07-19,0.25g*20粒,11510
帝豪旗舰店,莎普爱思 头孢克肟分散片,浙江莎普爱思药业股份有限公司,7.20,2021-01-31,0.1g*8片,6435
帝豪旗舰店,潘高寿 丹鳖胶囊,广州白云山潘高寿药业股份有限公司,31.30,2020-02-29,0.38g*45粒,0
帝豪旗舰店,地奥 谷参 复方谷氨酰胺肠溶胶囊,地奥集团成都药业股份有限公司,30.11,2020-10-31,24粒,954
帝豪旗舰店,罗定 安胎丸,广东逢春制药有限公司,5.00,2020-06-22,6g*10丸(大蜜丸),5628
帝豪旗舰店,丽芙 甲硝唑凝胶,江苏知原药业有限公司,8.00,2021-10-31,20g:0.15g,3523
帝豪旗舰店,逍遥津 热淋清片,合肥今越制药有限公司,6.56,2021-11-30,0.35g*12片*3板(薄膜衣),5484
帝豪旗舰店,盘龙云海 排毒养颜片,云南盘龙云海药业有限公司,40.00,2021-07-31,0.46g*10片*3板,223
帝豪旗舰店,来适可 氟伐他汀钠胶囊,北京诺华制药有限公司,32.47,2021-05-31,40mg*7粒,861
帝豪旗舰店,洛阳顺势 益金方 消食健胃片,洛阳顺势药业有限公司,3.20,2021-09-30,0.5g*48片,8895
帝豪旗舰店,吉林玉仁 快意得 复方氨酚烷胺片,吉林玉仁制药股份有限公司,2.20,2021-07-09,12片*1板,7525
帝豪旗舰店,克可宁 氢溴酸右美沙芬颗粒,广东和平药业有限公司,3.73,2020-12-15,0.5g:7.5mg*12袋,8171
帝豪旗舰店,999 小儿感冒颗粒,华润三九(枣庄)药业有限公司,9.39,2021-07-31,6g*10袋,26747
帝豪旗舰店,刻康 颈康胶囊,吉林真元制药有限公司,4.50,2020-11-30,0.3g*13粒*2板,6344
帝豪旗舰店,贵港冠峰 野木瓜片,石药控股集团广西泰诺制药有限公司,4.50,2020-11-30,0.42g*100片,6747
帝豪旗舰店,海南全星 双氯芬酸钠凝胶,海南全星制药有限公司,4.20,2020-09-11,20g,7627
帝豪旗舰店,广西药用 清热明目茶,广西药用植物园制药厂,4.43,2020-04-27,3g*12袋,5066
帝豪旗舰店,黑龙江天辰 克痤隐酮乳膏,黑龙江天辰药业有限公司,7.39,2020-10-14,25g,3830
帝豪旗舰店,帅克坦 盐酸氨溴索缓释胶囊,乐普药业股份有限公司,5.94,2020-09-30,75mg*6粒,2371
帝豪旗舰店,日田 丹七片,广西日田药业集团有限责任公司,7.06,2020-08-31,0.3g*12片*3板,4639
帝豪旗舰店,龙泰 荨麻疹丸,吉林龙泰制药股份有限公司,6.56,2021-09-30,10g*2袋,4371
帝豪旗舰店,陕西东泰 御隆 泌尿宁胶囊,陕西东泰制药有限公司,5.90,2020-12-13,0.45g*12s,5806
帝豪旗舰店,罗浮山 咳特灵片,广东罗浮山国药股份有限公司,4.40,2021-06-30,100片,17553
帝豪旗舰店,弘飞康 盐酸二甲双胍缓释片,南昌市飞弘药业有限公司,5.19,2020-11-30,0.5g*20片,6259
帝豪旗舰店,天龙 盐酸洛美沙星滴耳液,黑龙江天龙药业有限公司,3.55,2020-11-30,5ml,7595
帝豪旗舰店,吉林俊宏 美福临 藿香清胃片,吉林省俊宏药业有限公司,5.10,2022-01-31,15片*2板,5709
帝豪旗舰店,活性银离子抗菌液,西安康旺抗菌科技股份有限公司,16.48,2021-04-30,20mL,1399
帝豪旗舰店,安徽新和成 哈西奈德溶液,福元药业有限公司,4.32,2022-01-31,0.1%:10ml,6433
帝豪旗舰店,惠州中药 保儿安颗粒,广东省惠州市中药厂有限公司,3.99,2021-02-28,10g*8袋,6436
帝豪旗舰店,舒泰得 雷贝拉唑钠肠溶片,山东新华制药股份有限公司,14.39,2021-01-06,10mg*8片,7102
帝豪旗舰店,上海和黄 麝香保心丸,上海和黄药业有限公司,36.50,2021-04-30,22.5mg*42丸,817
帝豪旗舰店,同济堂 仙灵骨葆片,国药集团同济堂(贵州)制药有限公司,48.61,2021-08-16,0.3g*100片(薄膜衣),601
帝豪旗舰店,普壮 独一味软胶囊,江西欧氏药业有限责任公司,5.20,2020-09-30,0.5g*18粒,5147
帝豪旗舰店,江西远东 健儿清解液,江西远东药业股份有限公司,11.00,2021-10-31,10ml*10支,3680
帝豪旗舰店,多乐士精品激情安全套,马来西亚古米特工业有限公司,10.94,2023-05-01,12只,1451
帝豪旗舰店,通化鸿淘茂 抗骨增生片,吉林玉仁制药股份有限公司,4.20,2021-04-26,10片*4板,6838
帝豪旗舰店,丽珠得乐 枸橼酸铋钾颗粒,丽珠集团丽珠制药厂,20.36,2021-09-30,1g*28袋,1513
帝豪旗舰店,恒健 跌打万花油,广东恒健制药有限公司,1.23,2020-11-01,10ml,22696
帝豪旗舰店,普洛康裕 辛芩颗粒,浙江优胜美特中药有限公司,8.30,2021-06-30,20g*8袋,3721
帝豪旗舰店,潘高寿 蛇胆川贝液,广州白云山潘高寿药业股份有限公司,14.65,2020-05-31,10ml*6支,4760
帝豪旗舰店,北京长城 京丰 小儿清肺化痰颗粒,北京长城制药有限公司,11.20,2021-10-11,6g*10袋,3512
帝豪旗舰店,惠州中药 鼻舒适片,广东省惠州市中药厂有限公司,3.03,2020-11-30,60片,11821
帝豪旗舰店,烟台中洲 烟霞 金莲花分散片,烟台中洲制药有限公司,10.50,2020-10-31,0.7g*18片,0
帝豪旗舰店,尤卓尔 丁酸氢化可的松乳膏,天津金耀药业有限公司,14.56,2021-03-31,10g,2039
帝豪旗舰店,名诺 盐酸二甲双胍缓释片,山东凤凰制药股份有限公司,8.50,2020-08-31,0.5g*36片,2930
帝豪旗舰店,上海和黄 麝香保心丸,上海和黄药业有限公司,48.50,2021-03-31,22.5mg*60丸,27899
帝豪旗舰店,昆明中药 参苓健脾胃颗粒,昆明中药厂有限公司,14.20,2021-12-01,10g*10袋,0
帝豪旗舰店,镇南王 清肺抑火片,云南省曲靖药业有限公司,1.80,2021-11-30,0.6g*24片,16547
帝豪旗舰店,维仙优 复方维生素U片,日本滋贺县制药株式会社,39.90,2022-01-31,30s,5545
帝豪旗舰店,思尔明 尼麦角林片,辉瑞制药有限公司,58.83,2021-08-30,10mg*30片,479
帝豪旗舰店,黑龙江天辰 金羽洁 癣湿药水,黑龙江天辰药业有限公司,5.11,2021-01-09,20ml,5173
帝豪旗舰店,山西同达 氨咖黄敏胶囊,山西同达药业有限公司,2.70,2020-11-30,12粒,12599
帝豪旗舰店,山东方健 冰硼散,山东广育堂国药有限公司,2.08,2020-09-30,3g,13463
帝豪旗舰店,明兴 感冒通 氯芬黄敏片,广州白云山明兴制药有限公司,8.80,2021-03-31,50片,47118
帝豪旗舰店,逸舒 尼美舒利胶囊,广东逸舒制药股份有限公司,3.50,2021-02-16,0.1g*10s,7964
帝豪旗舰店,保龙康 复方酮康唑软膏,上海宝龙药业有限公司,4.00,2020-11-30,7g,73216
帝豪旗舰店,来立信 乳酸左氧氟沙星片,浙江医药股份有限公司新昌制药厂,6.79,2020-04-02,0.1g*10片,3910
帝豪旗舰店,黑龙江天龙 复方樟脑乳膏,黑龙江天辰药业有限公司,10.00,2020-10-31,50G,2442
帝豪旗舰店,江苏福邦 阿奇霉素胶囊,江苏福邦药业有限公司,3.45,2021-02-28,0.25g*6粒,8485
帝豪旗舰店,麦克罗辛 盐酸二甲双胍缓释片,天方药业有限公司,7.20,2021-03-31,0.5g*24片,4307
帝豪旗舰店,麦利平 马来酸氨氯地平片,陕西超群制药有限公司,16.97,2020-10-31,5mg*14片,1686
帝豪旗舰店,健兴 肺力露 肺力咳合剂,贵州健兴药业有限公司,25.00,2021-02-25,100ml,4535
帝豪旗舰店,立效 参苓白术颗粒,山西华康药业股份有限公司,9.20,2021-10-31,6g*8袋,2945
帝豪旗舰店,玉林 消石片,广西玉林制药集团有限责任公司,20.02,2020-12-31,0.32g*80片,1564
帝豪旗舰店,河南明康 小儿热速清糖浆,河南金鸿堂制药有限公司,8.00,2020-02-29,10ml*6支,2861
帝豪旗舰店,河南华峰 麻仁润肠丸,河南华峰制药有限公司,8.80,2020-09-30,3.2g*8袋,3490
帝豪旗舰店,罗浮山 复方风湿宁片,广东罗浮山国药股份有限公司,8.52,2020-04-30,0.2g*60s,3763
帝豪旗舰店,唐柯柠 二甲双胍格列本脲片(Ⅰ),通化久铭药业有限公司,4.50,2021-08-31,24片,5605
帝豪旗舰店,医用护理口罩,广州永益医疗器械有限公司,0.38,2022-02-04,16mm*17mm*1个,57317
帝豪旗舰店,亚宝 人工牛黄甲硝唑胶囊,亚宝药业太原制药有限公司,4.00,2021-10-31,20粒,8817
帝豪旗舰店,安阳中智 少林风湿跌打膏,安阳中智药业有限责任公司,3.41,2021-03-31,8cm*9.5cm*5贴,6835
帝豪旗舰店,凯妮汀 克霉唑阴道片,拜耳医药保健有限公司,43.50,2021-05-10,0.5g*1片,580
帝豪旗舰店,莎普爱思 苄达赖氨酸滴眼液,浙江莎普爱思药业股份有限公司,35.00,2021-06-30,5ml:25mg,0
帝豪旗舰店,山东鑫齐 铝碳酸镁咀嚼片,山东鑫齐药业有限公司,4.80,2020-12-31,0.5g*10片*3板,4981
帝豪旗舰店,血塞通分散片,安徽圣鹰药业有限公司,15.45,2021-11-30,10片*3板,2156
帝豪旗舰店,俊宏 固肾生发丸,吉林省俊宏药业有限公司,12.42,2021-07-31,2.5g*6袋,1659
帝豪旗舰店,湖南湘雅 美尔瑞 益脉康片,湖南湘雅制药有限公司,9.45,2020-12-31,40mg*30s,2819
帝豪旗舰店,辰欣 兰尼 奥美拉唑肠溶片,辰欣药业股份有限公司,2.73,2020-11-27,20mg*14s,7474
帝豪旗舰店,菖麻熄风片,黑龙江省济仁药业有限公司,141.40,2020-06-30,0.53g*24s,450
帝豪旗舰店,午时 杏苏止咳糖浆,湖北午时药业股份有限公司,5.55,2020-12-31,100ml,5907
帝豪旗舰店,山西仁源堂 通脉胶囊,山西仁源堂药业有限公司,6.67,2021-10-31,0.5g*24粒,126
帝豪旗舰店,山西同达 诺氟沙星胶囊,山西同达药业有限公司,1.91,2021-11-30,0.1g*20粒,14706
帝豪旗舰店,广西邦琪 原方 百咳静糖浆,广西邦琪药业集团有限公司,7.80,2020-12-31,100ml,1950
帝豪旗舰店,云南永孜堂 天麻醒脑胶囊,云南永孜堂制药有限公司,23.90,2020-07-31,0.4g*24s,1135
帝豪旗舰店,外科纱布敷料,广东恒健制药有限公司,0.85,2021-01-01,34cm*40cm,19940
帝豪旗舰店,创口贴(肚脐防护型),青岛海诺生物工程有限公司,5.00,2021-12-02,6片,494
帝豪旗舰店,甘肃独一味 参芪五味子片,康县独一味生物制药有限公司,14.50,2020-07-31,0.25g*60片(糖衣片),252
帝豪旗舰店,甲巯咪唑片,Merck Serono GmbH,36.07,2021-09-11,10mg*50片,788
帝豪旗舰店,南宁德致 小儿疳积糖,广西南宁德致药业有限公司,7.53,2020-10-31,10g*6袋,3402
帝豪旗舰店,通化斯威 通窍鼻炎片,通化斯威药业股份有限公司,2.10,2020-12-01,0.3g*24片,11315
帝豪旗舰店,陕西华西 花溪 复明胶囊,陕西华西制药股份有限公司,13.80,2020-11-10,0.3g*12粒*4板,1776
帝豪旗舰店,美克 联苯苄唑乳膏,拜耳医药保健有限公司,14.10,2022-12-05,10g,2225
帝豪旗舰店,粤威 辣椒风湿膏,广东粤威制药有限公司,6.00,2021-07-31,6.5cm*10cm*8贴,4100
帝豪旗舰店,北京宝树堂 宝肤灵 复方樟脑乳膏,北京宝树堂科技药业有限公司,18.89,2020-11-07,15g,1134
帝豪旗舰店,海南赞邦 富露施 乙酰半胱氨酸片,海南赞邦制药有限公司,16.98,2021-09-30,0.2g*10片,1619
帝豪旗舰店,通化鸿淘茂 立煞 炎立消片,吉林玉仁制药股份有限公司,1.85,2021-06-21,0.31g*24片,15867
帝豪旗舰店,四方箄 肠胃宁片,河南省新四方制药有限公司,8.50,2021-12-31,0.3g*18片*2板,3199
帝豪旗舰店,巴欣 头孢呋辛酯片,成都倍特药业有限公司,6.32,2020-08-09,0.125g*12片,6759
帝豪旗舰店,华南 心痛定 硝苯地平片,广东华南药业集团有限公司,2.00,2021-01-05,10mg*100片,14721
帝豪旗舰店,四川升和 乳酸左氧氟沙星分散片,四川升和药业股份有限公司,5.50,2020-05-31,0.1g*12片,1619
帝豪旗舰店,广西欢宝 滴通鼻炎水,广西欢宝药业有限公司,5.80,2021-01-31,15ml,3830
帝豪旗舰店,黑龙江天龙 氧氟沙星凝胶,黑龙江天龙药业有限公司,4.20,2020-02-29,10g/支/盒,5553
帝豪旗舰店,西络宁 苯磺酸氨氯地平分散片,黑龙江澳利达奈德制药有限公司,14.44,2021-06-30,5mg*10片,1598
帝豪旗舰店,丰原 催乳颗粒,蚌埠丰原涂山制药有限公司,19.50,2020-03-04,20g*6袋,1132
帝豪旗舰店,济南利民 盐酸左氧氟沙星胶囊,华润双鹤利民药业(济南)有限公司,1.25,2020-10-31,0.1g*12粒,23237
帝豪旗舰店,成都倍特 欣同克 非那雄胺片,成都倍特药业有限公司,6.25,2021-11-05,5mg*10片,3825
帝豪旗舰店,美唯宁 枸橼酸莫沙必利胶囊,上海新黄河制药有限公司,15.84,2021-12-11,5mg*28粒,2173
帝豪旗舰店,桑海 肾石通颗粒,江西南昌桑海制药有限责任公司,8.50,2020-12-31,15g*10袋,2681
帝豪旗舰店,山西同达 阿莫西林颗粒,山西同达药业有限公司,1.99,2020-12-31,0.125g*10袋,12388
帝豪旗舰店,金鸡 板蓝根颗粒,长春新安药业有限公司,3.50,2020-10-31,5克*9袋,128
帝豪旗舰店,通化鸿淘茂 温经活血片,吉林玉仁制药股份有限公司,3.96,2021-01-19,36s,6480
帝豪旗舰店,山东孔圣堂 木香顺气丸,山东孔圣堂制药有限公司,5.09,2021-02-25,6g*10袋,6098
帝豪旗舰店,江西广信 健脑胶囊,江西广信药业有限公司,10.70,2021-11-30,0.3g*12粒*2板,2744
帝豪旗舰店,太湖美 珍珠明目滴眼液,苏州太湖美药业有限公司,2.44,2020-08-14,8ml,9243
帝豪旗舰店,湖北四环 盐酸曲美他嗪片,湖北四环制药有限公司,9.51,2020-11-30,20mg*30片,2382
帝豪旗舰店,山西仁源堂 祺笑 除脂生发片,山西仁源堂药业有限公司,8.26,2021-11-30,12片*5板,3165
帝豪旗舰店,肤轻松 醋酸氟轻松乳膏,天津金耀药业有限公司,2.10,2020-05-31,2.5mg*10g,12861
帝豪旗舰店,杜蕾斯人体润滑液(热感装),青岛伦敦杜蕾斯有限公司,33.81,2021-09-30,50ml,65
帝豪旗舰店,三普 心脑欣胶囊,三普药业有限公司,11.93,2020-04-30,0.5g*20s,1189
帝豪旗舰店,佳泰 妇炎康软胶囊,深圳市佳泰药业股份有限公司,16.80,2020-04-30,0.75g*18粒,1690
帝豪旗舰店,浙江维康 通润维康 银黄滴丸,浙江维康药业股份有限公司,9.80,2021-09-30,0.7g*8袋,3141
帝豪旗舰店,雷诺考特 布地奈德鼻喷雾剂,阿斯利康制药有限公司,70.02,2020-06-30,64ug*120喷,6464
帝豪旗舰店,河南百泉 牛黄解毒片,河南省百泉制药有限公司,3.76,2021-06-30,24片*2板,6178
帝豪旗舰店,贝双定 恩替卡韦分散片,安徽贝克生物制药有限公司,27.50,2021-11-07,0.5mg*7s,12600
帝豪旗舰店,润都奥芬 布洛芬缓释胶囊,珠海润都制药股份有限公司,4.05,2020-12-31,0.3g*14粒,8098
帝豪旗舰店,白泉牌 舒腹贴膏,山东明人福瑞达卫生材料有限公司,6.59,2020-09-30,5cm*6cm*4贴,4037
帝豪旗舰店,亚宝 卡瑞丁 左炔诺孕酮分散片,亚宝药业四川制药有限公司,16.32,2021-05-31,1.5mg*1片,0
帝豪旗舰店,爱无忧 左炔诺孕酮片,北京法莫斯达制药科技有限公司,6.00,2020-02-28,1.5mg*1片,32326
帝豪旗舰店,湖北四环 力可欣 聚甲酚磺醛阴道栓,湖北四环制药有限公司,7.80,2020-10-31,90mg*6枚,2514
帝豪旗舰店,上海运佳 信龙 硼酸洗液,上海运佳黄浦制药有限公司,6.20,2020-12-31,250ml,5725
帝豪旗舰店,康王 复方酮康唑发用洗剂,滇虹药业集团股份有限公司,33.00,2020-11-14,50ml(RX),41224
帝豪旗舰店,悦康 阿莫西林胶囊,悦康药业集团有限公司,2.42,2021-01-31,0.25g*20粒,10637
帝豪旗舰店,维思通 利培酮片,西安杨森制药有限公司,103.93,2021-11-30,2mg*20s,0
帝豪旗舰店,钙尔奇 碳酸钙D3片,惠氏制药有限公司,34.89,2021-09-10,600mg*36片,7926
帝豪旗舰店,金花 转移因子胶囊,金花企业(集团)股份有限公司西安金花制药厂,4.50,2020-11-30,3mg:100ug*12粒,5354
帝豪旗舰店,通用三洋 凯尔 尼麦角林胶囊,海南通用三洋药业有限公司,29.00,2021-08-31,30mg*10粒,842
帝豪旗舰店,中一 木香顺气丸,广州白云山中一药业有限公司,7.58,2022-06-30,6g*6袋,2255
帝豪旗舰店,帝益洛 赖诺普利胶囊,江苏天士力帝益药业有限公司,21.13,2020-10-30,10mg*14粒,1045
帝豪旗舰店,可丽蓝早早孕测试笔(乳胶法),美艾利尔(上海)诊断产品有限公司,25.40,2022-01-20,1支,6439
帝豪旗舰店,仁澳 奥卡西平片,北京四环制药有限公司,42.05,2021-01-01,300mg*30片,656
帝豪旗舰店,安徽贝克 银丁 拉米夫定片,安徽贝克生物制药有限公司,30.54,2021-03-12,0.1g*14片,602
帝豪旗舰店,人人康 复方樟脑乳膏,广东人人康药业有限公司,6.40,2020-10-31,15g,7523
帝豪旗舰店,北京汉典 达洛特 银杏酮酯滴丸,北京汉典制药有限公司,22.00,2020-10-18,8mg*100丸,1130
帝豪旗舰店,山西云鹏 胱氨酸片,山西云鹏制药有限公司,8.70,2019-12-19,50mg*100s,2211
帝豪旗舰店,燕峰 前列安通胶囊,承德燕峰药业有限责任公司,8.50,2021-07-19,0.35g*12s*3板,2541
帝豪旗舰店,黑龙江天龙 鑫烨 老鹳草软膏,黑龙江天龙药业有限公司,5.97,2020-10-31,30g,3773
帝豪旗舰店,吉林健今 羚羊角颗粒,葵花药业集团(吉林)临江有限公司,32.90,2021-06-30,2.5g*9袋,9735
帝豪旗舰店,鲁抗 头孢拉定胶囊,山东鲁抗医药股份有限公司,2.00,2020-08-31,0.25g*10粒,13021
帝豪旗舰店,京必舒新 辛伐他汀片,浙江京新药业股份有限公司,9.50,2020-07-31,20mg*14片,2388
帝豪旗舰店,莫立奥 阿莫西林克拉维酸钾片(4:1),山西同达药业有限公司,6.50,2020-08-31,0.3125g*6片,3689
帝豪旗舰店,康恩贝 前列康 普乐安片,浙江康恩贝制药股份有限公司,14.80,2021-07-31,0.57g*60片,15621
帝豪旗舰店,福元药业 开塞露,福元药业有限公司,3.10,2021-07-31,20ml*20支,74729
帝豪旗舰店,倍特 头孢克洛分散片,成都倍特药业有限公司,6.25,2021-02-13,0.25g*6片,4176
帝豪旗舰店,立效 参苏丸,山西华康药业股份有限公司,4.76,2021-11-30,6g*6袋,5342
帝豪旗舰店,爱怡令 盐酸曲美他嗪片,江苏吴中医药集团有限公司苏州制药厂,9.70,2020-11-30,20mg*30片,2380
帝豪旗舰店,白云山 感冒灵颗粒,广州白云山制药股份有限公司白云山何济公制药厂,8.50,2020-09-30,10g*9袋,34279
帝豪旗舰店,长沙东风 赖氨葡锌颗粒,长沙东风药业有限公司,10.50,2020-10-31,5g*20包,2650
帝豪旗舰店,山东中泰 熊胆痔灵栓,山东中泰药业有限公司,8.80,2021-12-31,2g*6粒,3572
帝豪旗舰店,步长 红核妇洁洗液,山东步长神州制药有限公司,25.90,2020-12-31,150ml,11102
帝豪旗舰店,贵阳济仁堂 小儿健脾颗粒(宝宝乐),贵阳济仁堂药业有限公司,6.22,2020-11-21,5g*10袋,3609
